bibtex_key,title,selection_criteria,status,comments
6413619,R-Barrier: Rapid Barrier for Software RAID Cache Using Hints from Journaling Filesystem,The papaer do not proposed a storage device solution to improve IO performance,Accepted,[I/O?]
8686581,Summarizer: Trading Communication with Computing Near Storage,ARCHITECTURE,Accepted,"[(Summarizer)]-[(Storage System)[rsee(FPGA)]]-[DRAM&Flash&FPGA]
[SSD processor]-[N]-[TPC(TPC-H)&SimilarityJoin]"
8107435,Toward Managing HPC Burst Buffers Effectively: Draining Strategy to Regulate Bursty I/O Behavior,ARCHITECTURE,Accepted,"[proactive draining scheme]-[(HPC)[ssee(not found)]]-[HDD&SSD]
[burst buffer]-[N]-[IOR&CHIMERA&GTC&S3D&GYRO&POP]"
20092512132710,Research and implementation on improving I/O performance of streaming media storage system,ARCHITECTURE,Accepted,"[DESIGN OF HIGH PERFORMANCE I/O STREAMING MEDIA STORAGE SYSTEM]-[(Storage System)[rsee(1pc)]]-[HDD]
[memory management]-[N]-[Qbench&Iometer]"
5496997,Delayed partial parity scheme for reliable and high-performance flash memory SSD,ARCHITECTURE,Accepted,"[we propose a novel RAID-5 architecture for flash memory SSDs]-[Storage System[ssee(built simulator)]]-[SSD]
[parity update&caching]-[N]-[pcNTFS&SPC(Financial)&Iozone&Postmark]"
6337778,High Performance and High Capacity Hybrid Shingled-Recording Disk System,ARCHITECTURE,Accepted,"[This paper presents a new hybrid storage architecture]-[(Storage System)[rsee(1m)]]-[SSD&HDD&Memory]
[device concerning]-[N]-[SPC(Financial1&Financial2)&MSR(proj&hm&rsrch&src&stg&ts&web&mds&prn&wdev)]"
Liao2014,Self-tuning optimization on storage servers in parallel file systems,,Duplicated,
5403814,ECOS: An energy-efficient cluster storage system,ARCHITECTURE,Accepted,"[(ECOS)]-[(Storage System)[rsee(2n)]]-[HDD]
[energy concerning]-[Y]-[specific]"
6558446,Cooperative caching with return on investment,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[four representative cooperation approaches]-[Storage Systems[Storage Systems(storage system)][ssee(not found)]]-[Cache]
[caching]-[N]-[TPC(TPC-H&TPC-C)&OLTP(webAuctions& e-commerce)&Video]"
6337776,"Damaris: How to Efficiently Leverage Multicore Parallelism to Achieve Scalable, Jitter-free I/O",S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(Damaris)]-[HPC[Storage Systems(storage system)][rhee(Kraken Cray XT5&Grid’5000&Power5)]]-[HDD&memory]
[I/O contention]-[N]-[CM1]"
